iter	Passed	Remaining
0	163	163766
1	168	84011
2	172	57228
3	175	43811
4	179	35718
5	183	30357
6	186	26516
7	190	23597
8	194	21412
9	197	19572
10	201	18075
11	203	16782
12	206	15710
13	210	14796
14	212	13979
15	215	13262
16	218	12651
17	222	12115
18	225	11651
19	229	11225
20	232	10851
21	236	10510
22	240	10202
23	244	9928
24	248	9674
25	251	9417
26	254	9175
27	257	8949
28	260	8734
29	263	8526
30	266	8341
31	269	8161
32	272	7992
33	275	7833
34	278	7679
35	281	7536
36	284	7403
37	287	7278
38	290	7162
39	293	7048
40	297	6956
41	300	6857
42	303	6762
43	306	6666
44	309	6568
45	312	6477
46	315	6394
47	318	6310
48	321	6230
49	323	6153
50	326	6082
51	329	6012
52	332	5946
53	336	5887
54	339	5835
55	343	5784
56	346	5736
57	349	5681
58	352	5624
59	355	5576
60	358	5525
61	362	5483
62	365	5437
63	368	5389
64	371	5346
65	374	5306
66	377	5263
67	380	5220
68	384	5186
69	387	5145
70	390	5108
71	393	5075
72	396	5040
73	399	5003
74	403	4973
75	406	4937
76	408	4901
77	411	4867
78	414	4833
79	417	4804
80	421	4783
81	425	4760
82	428	4731
83	432	4713
84	436	4696
85	440	4678
86	444	4660
87	447	4639
88	450	4615
89	453	4588
90	456	4563
91	459	4539
92	463	4516
93	466	4492
94	469	4469
95	472	4446
96	475	4423
97	479	4410
98	482	4394
99	486	4374
100	489	4354
101	492	4340
102	496	4320
103	499	4301
104	502	4281
105	505	4259
106	508	4243
107	511	4227
108	514	4208
109	518	4192
110	521	4175
111	524	4159
112	527	4142
113	531	4129
114	534	4113
115	538	4103
116	542	4090
117	545	4074
118	548	4057
119	551	4045
120	554	4031
121	558	4020
122	561	4004
123	564	3990
124	567	3975
125	570	3960
126	573	3945
127	577	3933
128	580	3920
129	583	3905
130	586	3892
131	589	3878
132	592	3865
133	596	3852
134	599	3840
135	602	3827
136	606	3818
137	609	3808
138	613	3803
139	617	3791
140	620	3779
141	623	3767
142	627	3760
143	630	3748
144	634	3741
145	638	3733
146	642	3728
147	647	3728
148	652	3723
149	656	3720
150	660	3714
151	665	3711
152	669	3704
153	673	3699
154	677	3690
155	680	3679
156	683	3670
157	686	3660
158	689	3648
159	693	3639
160	696	3629
161	699	3620
162	703	3611
163	706	3602
164	710	3593
165	713	3583
166	716	3572
167	719	3562
168	722	3554
169	726	3547
170	729	3537
171	733	3531
172	736	3522
173	741	3517
174	744	3510
175	747	3501
176	751	3493
177	754	3484
178	757	3474
